year,genre,country
1926,"Drama, Romance",Norway
1926,Drama,United States
1926,"Adventure, Romance",United States
1926,"Comedy, Romance",United States
1926,"Comedy, Romance",United States
1926,"Comedy, Romance",United States
1926,"Drama, Fantasy, Horror",Germany
1926,Comedy,United States
1926,Comedy,United States
1926,"Drama, Romance",United States
1926,"Action, Comedy, Romance",United States
1926,Drama,Germany
1926,Western,United States
1926,"Action, Comedy, War",United States
1926,Drama,Germany
1927,Comedy,United States
1926,"Adventure, Comedy, Romance",United States
1926,"Comedy, Romance",United States
1926,Comedy,United States
1926,"Drama, Thriller",Japan
1927,"Crime, Drama, Mystery",United Kingdom
1926,"Comedy, Drama, Romance",United States
1925,"Action, Drama, Fantasy",Italy
1926,"Drama, Fantasy, Horror",United States
1926,Comedy,United States
1926,"Drama, War",United States
1926,Drama,Russia
1927,"Drama, Sci-Fi",Germany
1926,"Adventure, Comedy, Crime",Russia
1925,Comedy,United States
1925,Drama,Russia
1926,"Drama, Romance",France
1926,"Biography, Drama, History",United Kingdom
1926,"Drama, History",United States
1926,Drama,Russia
1926,Comedy,Russia
1926,Drama,United States
1925,Comedy,Austria
1926,Drama,United States
1926,"Action, Adventure, Fantasy",United States
1926,"Romance, Drama",United States
1926,Drama,Russia
1926,"Comedy, Drama",United States
1926,Comedy,United States
1926,Comedy,United States
1926,"Adventure, Drama, Romance",United States
1926,"Drama, Romance",United States
1926,Drama,United States
1926,Comedy,United States
1926,"Drama, Horror",Germany
1925,Drama,Germany
1926,"Drama, Romance",United States
1926,"Romance, Western",United States
1926,"Drama, Romance",United States
1926,"Adventure, Comedy, Romance",United States
1926,"Drama, Romance",United States
1927,"Drama, Romance, Sport",United States
1926,"Comedy, Drama, War",United States
1926,"Drama, Romance, Western",United States
1927,"Drama, Romance",United States
1928,"Drama, Fantasy, Horror",Germany
1927,"Drama, Romance",United States
1927,Drama,Russia
1927,"Drama, Romance, War",United States
1927,"Adventure, Drama, History",United States
1927,Drama,Austria
1927,"Drama, Romance",United States
1927,"Biography, Drama","France, Germany"
1927,"Comedy, Horror, Mystery",United States
1927,"Comedy, Crime, Drama",United States
1927,"Drama, Romance",United States
1927,"Comedy, Drama, Sport",United States
1927,"Comedy, Drama, Romance",Russia
1927,"Adventure, Drama, Thriller",United Kingdom
1927,"Drama, Sport",United States
1927,"Romance, Thriller",United Kingdom
1927,Comedy,United States
1927,"Comedy, Drama",United States
1927,"Adventure, Romance",United States
1926,"Action, Adventure, Comedy",United States
1927,"Comedy, Romance",United States
1983,"Drama, Romance",France
1935,"Comedy, Drama",Russia
1927,"Drama, Romance",United Kingdom
1927,"Drama, War",United States
1927,"Drama, Romance",United States
1927,"Comedy, Romance",United States
1927,"Drama, Music, Musical",United States
1927,"Drama, Fantasy, War",France
1927,"Comedy, Drama, Family",United States
1927,"Biography, Drama, History",United States
1927,Drama,Russia
1927,"Drama, Romance",Germany
1927,Horror,United States
1927,Comedy,United States
1927,"Drama, Romance",United States
1927,Drama,United States
1927,Drama,United States
1927,"Drama, Romance",United States
1927,"Drama, Romance",United States
1927,"Comedy, Romance",United States
1927,"Biography, Drama, History",France
1927,"Drama, History",Russia
1927,"Drama, History, Romance",United States
1927,"Comedy, Romance",United States
1927,"Comedy, Romance",United States
1927,"Drama, Romance, Sport",United States
1927,Comedy,Russia
1927,"Comedy, Drama, Romance",United States
1927,"Comedy, Romance",United States
1927,"Drama, Romance, Sport",United Kingdom
1927,Comedy,United States
1927,"Crime, Drama, Romance",United States
1927,"Drama, Romance",United States
1928,Drama,United States
1928,"Drama, Romance",United Kingdom
1927,"Crime, Drama",United States
1927,"Comedy, Sport",United States
1927,Comedy,United States
1927,"Drama, Romance",United States
1927,Thriller,Russia
1927,"Drama, Romance",United States
1927,"Action, Adventure",United States
1926,"Comedy, Drama, Romance",United States
1927,"Comedy, Drama",United States
1927,"Comedy, Drama",United States
1927,"Comedy, Drama",Russia
1927,Drama,United States
1927,"Adventure, Comedy, Romance",United States
1928,Comedy,"France, Germany"
1927,"Drama, History",United States
1927,"Crime, Drama, Film-Noir",United States
1927,"Drama, Horror, Romance",United States
1927,"Comedy, Drama",United States
1927,"History, Romance",United States
1927,"Drama, Romance, War",United States
1927,"Drama, History, War",United States
1929,Drama,Germany
1927,"Drama, Romance","China, Hong Kong"
1928,"Drama, Romance",Germany
1928,"Drama, Romance",United States
1928,Comedy,United States
1928,"Adventure, Drama",United States
1928,Comedy,United States
1929,"Crime, Drama, Romance",Germany
1928,"Comedy, Drama, Family",United States
1928,"Comedy, Romance",United States
1928,Comedy,United Kingdom
1928,Horror,France
1928,"Comedy, Romance",United States
1928,Drama,United States
1928,Comedy,France
1928,"Drama, Romance",United States
1928,"Crime, Drama, Film-Noir",United States
1928,Comedy,Russia
1928,"Drama, Romance, War",Russia
1928,"Comedy, Drama, Romance",United Kingdom
1928,"Drama, Romance",United States
1928,Comedy,United States
1928,Drama,United States
1929,"Adventure, Drama, Romance",United States
1928,"Drama, War",United States
1928,Drama,United States
1928,"Comedy, Drama",United States
1928,Drama,Germany
1928,"Action, Adventure, Comedy",United States
1928,"Drama, Romance, Thriller",United States
1928,"Drama, Romance, War",Germany
1929,Sci-Fi,United Kingdom
1928,Drama,Japan
1928,"Comedy, Drama, Romance",United States
1928,"Drama, History, Romance",United States
1928,Drama,United States
1928,"Crime, Drama, Music",United States
1928,"Drama, Romance, War",United States
1928,"Comedy, Drama, Romance",United States
1928,Drama,France
1928,"Drama, Horror, Mystery",United States
1928,"Comedy, Romance",United States
1928,Drama,United States
1927,Drama,United States
1928,Drama,United Kingdom
1928,"Drama, Romance",United States
1928,Drama,United States
1928,"Biography, Drama, History",France
1928,"Comedy, Drama, Romance",United States
1928,"Drama, War",Russia
1928,Drama,United States
1928,"Crime, Drama, Film-Noir",United States
1928,"Drama, Romance",United States
1928,"Comedy, Drama",United States
1928,Drama,United States
1928,Drama,United States
1928,"Drama, History, Romance","India, United Kingdom, Germany"
1928,"Comedy, Romance",United States
1928,"Musical, Drama",United States
1928,"Comedy, Romance, Sport",United States
1928,"Action, Comedy, Family",United States
1928,"Romance, Thriller",Germany
1928,"Action, Comedy, Drama",United States
1928,Drama,United States
1928,"Action, Adventure, Drama",United States
1928,"Drama, Romance",United States
1928,"Comedy, Drama, Romance",United States
1928,Comedy,France
1928,"Action, Adventure, Drama",United States
1928,"Drama, Romance",United Kingdom
1928,"Action, Adventure, History",United States
1927,Drama,United States
1929,"Drama, Romance",United States
1928,Drama,United States
1928,"Drama, Mystery",United States
1928,"Crime, Drama",United States
1928,"Drama, Romance",United States
1928,"Drama, Romance, Thriller",United States
1928,Drama,United States
1929,Drama,"Germany, Russia"
1928,"Drama, Fantasy",Russia
1930,Drama,Spain
1929,Crime,United States
1929,"Drama, Musical",United States
1928,"Drama, Romance",France
1929,"Drama, War",Russia
1929,"Crime, Drama, Romance",Germany
1929,Drama,United Kingdom
1929,Mystery,United States
1929,"Comedy, Crime, Mystery",United States
1929,"Adventure, Drama",United States
1929,"Crime, Thriller",United Kingdom
1929,"Crime, Music, Romance",United States
1929,"Drama, Musical",United States
1929,"Drama, Musical, Romance",United States
1929,"Drama, Mystery, Thriller",United States
1929,"Crime, Drama, Mystery",United States
1929,"Adventure, Drama",France
1929,"Comedy, Musical",United States
1929,Drama,United States
1929,"Drama, Romance",United States
1929,Comedy,Japan
1929,"Drama, Musical, Romance",United States
1929,Drama,United States
1929,"Adventure, Drama, Romance",United States
1929,"Music, Romance, War",United States
1929,"Biography, Drama, History",United States
1928,"Drama, History, Romance",United States
1929,"Comedy, Drama, Romance",United States
1929,Drama,United States
1929,"Drama, Romance",Czech Republic
1929,"Drama, Romance",United States
1929,Drama,United States
1929,"Action, Adventure, Romance",United States
1929,"Adventure, Drama, Romance",United States
1929,"Crime, Drama",United Kingdom
1929,"Comedy, Drama, Romance",Germany
1929,Drama,Germany
1929,Comedy,United States
1929,"Comedy, Drama, Musical",United States
1928,Drama,United States
1929,"Comedy, Musical",United States
1929,Drama,Russia
1929,"Action, Romance, Western",United States
1929,"Drama, Musical, Romance",United States
1929,"Drama, Mystery",United States
1929,"Drama, Romance",United States
1929,"Drama, Musical",United States
1929,"Action, Crime, Drama",United States
1929,Drama,United States
1929,"Crime, Drama, Romance",United States
1929,"Drama, Mystery",United States
1929,"Comedy, Music",United States
1929,"Comedy, Crime, Drama",United States
1929,Drama,Germany
1929,Comedy,United States
1928,"Action, Adventure, Romance",United States
1929,Drama,United Kingdom
1929,"Adventure, Drama, History",United States
1929,"Comedy, Musical, Romance",United States
1929,"Romance, Drama",United States
1929,"Drama, Romance",Norway
1929,"Drama, Horror, Romance",United States
1928,"Horror, Mystery, Thriller",United States
1929,"Comedy, Drama",United States
1929,Drama,United States
1929,Drama,United States
1929,"Drama, Mystery, Thriller",United States
1929,"Comedy, Musical, Romance",United States
1929,Comedy,United States
1929,"Drama, Romance",United States
1929,Drama,United States
1929,"Drama, Romance","United Kingdom, Isle Of Man"
1929,"Drama, Musical, Romance",United States
1929,Drama,United States
1930,"Comedy, Drama, Romance",Germany
1929,"Drama, Romance",United States
1929,Adventure,France
1929,Drama,Germany
1929,Thriller,United States
1929,"Adventure, Romance, Sci-Fi",United States
1929,"Comedy, Drama",United States
1929,"Crime, Drama, Music",United States
1928,"Drama, War",United States
1929,Comedy,France
1929,"Drama, History",Russia
1929,Drama,Russia
1929,"Musical, Romance",United States
1929,"Drama, Comedy",United States
1929,Drama,United States
1929,"Drama, Crime",United Kingdom
1929,"Adventure, Drama, Romance","United Kingdom, India, Germany"
1930,Drama,Russia
1932,Drama,United States
1929,"Crime, Drama, Thriller",United States
1929,"Western, Adventure, Drama",United States
1929,"Adventure, Music, Romance",United States
1928,"Drama, Romance",United States
1930,"Comedy, Drama, Musical",United States
1929,Drama,Italy
1929,Musical,United States
1929,"Drama, Romance, Sport",United States
1929,"Comedy, Romance",United States
1929,"Comedy, Mystery, Thriller",United States
1929,"Drama, Sport",United States
1929,"Drama, Musical, Romance",United States
1929,Musical,United States
1930,Drama,United States
1929,"Drama, Romance",United States
1929,"Comedy, Drama, Romance",United States
1929,Comedy,Germany
1929,"Drama, Romance, Sport",United States
1929,Comedy,United States
1929,"Drama, Music, Romance",United States
1929,Drama,Russia
1929,"Drama, Musical, Romance",United States
1929,"Crime, Mystery",United States
1929,"Comedy, Musical",United States
1929,Drama,Germany
1929,"Comedy, Romance",United States
